subject,accuracy,rt,reject
22,0.7875,822.5,0
37,0.7916666666666666,736.5,0
74,0.8125,908.300000071526,0
123,0.8583333333333333,1078.450000047685,0
147,0.5416666666666666,658.54999999702,0
150,0.8666666666666667,761.5,0
170,0.7541666666666667,1170.20000000298,0
198,0.8666666666666667,1021.55000001192,0
226,0.8875,826.700000000186,0
229,0.8208333333333333,1096.60000002384,0
243,0.7291666666666666,1161.0,0
263,0.6791666666666667,580.0,0
287,0.8166666666666667,1055.199999999255,0
293,0.8583333333333333,775.39999999851,0
296,0.5791666666666667,1110.0,0
299,0.6,934.75,0
314,0.5166666666666667,646.0999999940395,0
329,0.7625,1083.59999990463,0
332,0.625,795.04999999702,0
351,0.9208333333333333,806.400000095367,0
384,0.675,1072.84999990463,0
390,0.625,875.200000047684,0
395,0.8625,651.199999928474,0
404,0.8458333333333333,848.5,0
423,1.0,867.1500000357626,1
437,0.5333333333333333,1099.70000001788,0
459,0.65,1123.10000002384,0
465,0.8375,764.29999999702,0
472,0.8416666666666667,727.5,0
474,0.8416666666666667,720.4499999284744,0
476,0.8791666666666667,862.5,0
487,0.7875,955.5,0
510,0.49583333333333335,595.799999952316,0
588,0.6458333333333334,966.300000190735,0
592,0.6958333333333333,757.0,0
601,0.7,751.9500000476835,0
611,0.5958333333333333,740.59999999404,0
625,1.0,1153.19999998808,1
626,0.525,914.3000000002795,0
632,0.875,758.0500000000466,0
661,0.5833333333333334,999.1000000238415,0
672,0.5583333333333333,598.5,0
704,0.5041666666666667,666.100000023842,0
709,0.725,910.399999976158,0
710,0.8791666666666667,922.100000143051,0
727,0.775,969.900000035763,0
758,1.0,1055.40000000037,1
783,0.5041666666666667,545.0,0
787,0.9208333333333333,658.199999999721,0
803,0.5333333333333333,700.7000000476835,0
804,0.8166666666666667,867.6999999992549,0
813,0.8625,770.800000011921,0
828,0.5125,606.699999988079,0
837,0.8041666666666667,752.0,0
843,0.5791666666666667,751.300000011921,0
863,0.6041666666666666,603.0,0
877,0.775,1114.39999997616,0
879,0.55,958.899999976158,0
917,0.8125,917.79999999702,0
928,0.6083333333333333,510.9500000178815,0
937,0.475,720.1499996185305,0
957,0.8375,941.79999999702,0
973,0.8083333333333333,859.3999999985094,0
1045,1.0,831.9499999992549,1
1059,0.5708333333333333,776.0,0
1120,0.525,622.5500000119205,0
1143,0.575,1087.5,0
1230,0.49166666666666664,545.54999999702,0
1231,0.49583333333333335,869.5,0
1267,0.5291666666666667,482.699999988079,0
1288,0.8416666666666667,893.8499999940395,0
1297,0.8708333333333333,1200.19999992847,0
1314,0.7583333333333333,894.0,0
1321,0.4875,1013.20000000019,0
1328,0.5666666666666667,970.699999999255,0
1338,1.0,808.0,1
1443,0.7166666666666667,1136.09999999404,0
1457,1.0,650.599999997765,1
1462,0.75,700.400000000023,0
1471,0.7541666666666667,927.300000000745,0
1505,0.5125,589.400000002235,0
1571,0.8416666666666667,852.2999999523165,0
1584,0.6666666666666666,884.0,0
1624,0.8416666666666667,854.650000002235,0
1721,0.8333333333333334,1037.94999999553,0
1801,0.8833333333333333,769.0,0
1818,0.8833333333333333,875.850000023842,0
1826,0.7875,910.700000047684,0
1827,0.6708333333333333,1275.00000000023,0
1846,0.5375,858.09999999404,0
1847,0.7958333333333333,829.299999952316,0
1848,0.6333333333333333,943.4000000059605,0
1850,0.5541666666666667,1073.00000000023,0
1851,0.7625,915.999999999767,0
1876,0.5958333333333333,896.0,0
1883,0.5791666666666667,1073.90000000224,0
1980,0.875,1005.1500000953649,0
1981,0.7041666666666667,1260.19999999972,0
1982,0.8541666666666666,818.09999999404,0
1984,0.7958333333333333,1221.89999999991,0
1993,0.525,565.1500000059605,0
2016,0.5708333333333333,848.0,0
2030,0.5833333333333334,762.9499999992549,0
2039,0.48333333333333334,691.7000000001865,0
2040,0.6708333333333333,760.700000017881,0
2062,0.42916666666666664,684.300000011921,0
2065,0.7291666666666666,870.39999961853,0
2069,0.6416666666666667,1159.799999999815,0
2082,0.5041666666666667,613.5,0
2085,0.5416666666666666,950.75,0
2086,0.5583333333333333,969.799999952316,0
2106,0.5166666666666667,537.0500000417235,0
2124,0.6375,913.5,0
2125,0.7458333333333333,1294.09999990463,0
2134,0.7375,972.200000047684,0
2135,0.5041666666666667,892.099999904633,0
2138,0.7,953.4999999998836,0
2144,0.825,923.8000000119209,0
2148,0.48333333333333334,957.64999999851,0
2151,0.7,799.5499999821185,0
2165,0.7791666666666667,957.099999904633,0
2166,0.7958333333333333,625.399999856949,0
2189,0.9166666666666666,915.8000000119209,0
2223,0.5125,650.0,0
2267,0.8333333333333334,795.350000023842,0
2283,0.7041666666666667,915.0,0
2284,0.7833333333333333,889.0,0
2287,0.7583333333333333,903.75,0
2290,0.7333333333333333,830.0,0
2307,0.7083333333333334,840.6999999880791,0
2312,0.6416666666666667,1085.0,0
2315,0.9291666666666667,732.59999999404,0
2316,0.6875,878.0,0
2334,0.7958333333333333,822.0,0
2335,0.5458333333333333,928.0,0
2336,0.56,1184.0,0
2368,0.7583333333333333,973.6500000208615,0
2388,0.6375,818.800000011921,0
2406,0.8708333333333333,1364.90000009537,0
2407,0.6708333333333333,1064.20000004768,0
2423,0.8333333333333334,780.5499999523165,0
2425,0.5708333333333333,830.100000023842,0
2430,0.8291666666666667,872.300000011921,0
2451,0.8541666666666666,826.299999952316,0
2477,0.7083333333333334,956.5500000119209,0
