	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-14200.0	0.468	25.0	-14300.0	-14200.0	-14200.0	2850.0	0.177	1.0
theta_mu[1]	1.16	0.00357	0.116	0.943	1.16	1.4	1055.0	0.0654	1.0
theta_mu[2]	0.27	0.000468	0.0209	0.227	0.27	0.309	2004.0	0.124	1.0
theta_mu[3]	-0.0215	0.000429	0.0182	-0.0589	-0.0215	0.0126	1807.0	0.112	1.0
theta_mu[4]	-1.1	0.0024	0.0855	-1.27	-1.1	-0.935	1273.0	0.0789	1.0
theta_pr[1,1]	1.16	0.00691	0.653	-0.0577	1.12	2.47	8921.0	0.553	1.0
theta_pr[1,2]	-0.766	0.00444	0.19	-1.16	-0.767	-0.405	1843.0	0.114	1.0
theta_pr[1,3]	0.277	0.00709	0.612	-0.645	0.168	1.64	7433.0	0.461	1.0
theta_pr[1,4]	-0.518	0.0103	0.787	-1.58	-0.745	1.33	5856.0	0.363	1.0
theta_pr[1,5]	2.07	0.00654	0.632	0.87	2.04	3.33	9364.0	0.58	1.0
theta_pr[1,6]	-0.232	0.007	0.426	-0.901	-0.3	0.752	3709.0	0.23	1.0
theta_pr[1,7]	1.15	0.00619	0.587	0.0779	1.11	2.36	8989.0	0.557	1.0
theta_pr[1,8]	0.0796	0.00715	0.481	-0.715	0.0199	1.16	4527.0	0.281	1.0
theta_pr[1,9]	-0.963	0.00935	0.561	-1.73	-1.07	0.539	3599.0	0.223	1.0
theta_pr[1,10]	0.0903	0.00729	0.591	-0.787	-0.0192	1.46	6565.0	0.407	1.0
theta_pr[1,11]	0.92	0.00639	0.623	-0.153	0.862	2.24	9535.0	0.591	1.0
theta_pr[1,12]	-0.187	0.0107	0.847	-1.44	-0.352	1.64	6207.0	0.385	1.0
theta_pr[1,13]	-0.888	0.0121	0.809	-1.95	-1.14	1.08	4450.0	0.276	1.0
theta_pr[1,14]	0.0961	0.00947	0.775	-1.05	-0.0457	1.79	6699.0	0.415	1.0
theta_pr[1,15]	-0.776	0.0127	0.683	-1.63	-0.96	1.05	2900.0	0.18	1.0
theta_pr[1,16]	1.5	0.00601	0.612	0.366	1.46	2.75	10348.0	0.641	1.0
theta_pr[1,17]	0.37	0.00902	0.77	-0.906	0.286	1.97	7287.0	0.452	1.0
theta_pr[1,18]	0.115	0.0125	0.9	-1.21	-0.00204	1.98	5200.0	0.322	1.0
theta_pr[1,19]	0.853	0.00591	0.572	-0.135	0.799	2.05	9367.0	0.581	1.0
theta_pr[1,20]	-0.676	0.00507	0.238	-1.11	-0.69	-0.205	2198.0	0.136	1.0
theta_pr[1,21]	-1.27	0.00967	0.416	-1.73	-1.33	-0.206	1850.0	0.115	1.0
theta_pr[1,22]	-0.0302	0.0055	0.338	-0.632	-0.0597	0.674	3780.0	0.234	1.0
theta_pr[1,23]	0.843	0.00642	0.661	-0.316	0.785	2.22	10616.0	0.658	1.0
theta_pr[1,24]	0.516	0.00627	0.541	-0.391	0.453	1.68	7429.0	0.46	1.0
theta_pr[1,25]	1.12	0.00649	0.65	-0.064	1.08	2.45	10040.0	0.622	1.0
theta_pr[1,26]	0.668	0.00718	0.735	-0.659	0.616	2.17	10490.0	0.65	1.0
theta_pr[1,27]	-0.806	0.00616	0.41	-1.4	-0.879	0.188	4428.0	0.274	1.0
theta_pr[1,28]	-0.339	0.00973	0.75	-1.39	-0.527	1.42	5943.0	0.368	1.0
theta_pr[1,29]	1.19	0.00571	0.636	0.0386	1.14	2.51	12380.0	0.767	1.0
theta_pr[1,30]	-0.779	0.0119	0.743	-1.61	-1.03	1.19	3895.0	0.241	1.0
theta_pr[1,31]	-0.573	0.0122	0.816	-1.56	-0.843	1.37	4510.0	0.279	1.0
theta_pr[1,32]	-0.929	0.0119	0.839	-2.27	-1.11	1.01	4996.0	0.31	1.0
theta_pr[1,33]	-0.847	0.00466	0.226	-1.27	-0.859	-0.394	2360.0	0.146	1.0
theta_pr[1,34]	0.176	0.00525	0.345	-0.45	0.148	0.885	4308.0	0.267	1.0
theta_pr[1,35]	0.0694	0.014	0.956	-1.28	-0.0813	2.06	4671.0	0.289	1.0
theta_pr[1,36]	1.77	0.00661	0.607	0.638	1.74	2.98	8442.0	0.523	1.0
theta_pr[1,37]	1.76	0.00689	0.609	0.619	1.73	3.0	7803.0	0.484	1.0
theta_pr[1,38]	-0.772	0.0114	0.778	-1.91	-0.969	1.07	4641.0	0.288	1.0
theta_pr[1,39]	-0.97	0.00432	0.207	-1.38	-0.972	-0.582	2301.0	0.143	1.0
theta_pr[1,40]	-0.976	0.0117	0.703	-1.73	-1.21	0.984	3626.0	0.225	1.0
theta_pr[1,41]	-0.191	0.00703	0.61	-1.16	-0.291	1.2	7527.0	0.466	1.0
theta_pr[1,42]	-0.933	0.0175	0.971	-2.06	-1.3	1.41	3062.0	0.19	1.0
theta_pr[1,43]	0.829	0.00673	0.588	-0.194	0.774	2.08	7645.0	0.474	1.0
theta_pr[1,44]	0.468	0.00553	0.49	-0.359	0.412	1.53	7850.0	0.486	1.0
theta_pr[1,45]	-0.338	0.00505	0.332	-0.929	-0.369	0.367	4320.0	0.268	1.0
theta_pr[1,46]	-1.13	0.0161	0.701	-1.82	-1.33	0.999	1891.0	0.117	1.0
theta_pr[1,47]	-0.036	0.0133	0.95	-1.4	-0.173	1.93	5139.0	0.318	1.0
theta_pr[1,48]	-1.26	0.0123	0.439	-1.74	-1.33	-0.0835	1276.0	0.0791	1.0
theta_pr[1,49]	0.681	0.0065	0.59	-0.318	0.617	1.94	8230.0	0.51	1.0
theta_pr[1,50]	-0.13	0.00516	0.348	-0.766	-0.157	0.608	4564.0	0.283	1.0
theta_pr[1,51]	-0.416	0.0162	0.958	-1.57	-0.721	1.72	3506.0	0.217	1.0
theta_pr[1,52]	0.341	0.0228	1.2	-1.64	0.378	2.57	2764.0	0.171	1.0
theta_pr[1,53]	-0.588	0.00696	0.431	-1.17	-0.677	0.527	3837.0	0.238	1.0
theta_pr[1,54]	0.353	0.00739	0.698	-0.806	0.261	1.85	8905.0	0.552	1.0
theta_pr[1,55]	-0.134	0.00593	0.419	-0.764	-0.21	0.855	4985.0	0.309	1.0
theta_pr[1,56]	-0.462	0.00538	0.288	-0.969	-0.485	0.126	2871.0	0.178	1.0
theta_pr[1,57]	1.12	0.00682	0.711	-0.211	1.09	2.54	10896.0	0.675	1.0
theta_pr[1,58]	0.517	0.00815	0.786	-0.851	0.447	2.12	9285.0	0.575	1.0
theta_pr[1,59]	-0.586	0.0105	0.732	-1.44	-0.835	1.29	4898.0	0.304	1.0
theta_pr[1,60]	-0.365	0.00977	0.764	-1.47	-0.519	1.35	6127.0	0.38	1.0
theta_pr[1,61]	-0.404	0.0213	1.04	-1.57	-0.848	1.94	2377.0	0.147	1.0
theta_pr[1,62]	0.0632	0.00841	0.672	-0.926	-0.068	1.63	6394.0	0.396	1.0
theta_pr[1,63]	-0.664	0.0156	0.853	-1.54	-1.02	1.5	3004.0	0.186	1.0
theta_pr[1,64]	-0.176	0.018	1.06	-1.51	-0.42	2.07	3470.0	0.215	1.0
theta_pr[1,65]	1.54	0.00612	0.637	0.341	1.5	2.83	10855.0	0.673	1.0
theta_pr[1,66]	0.535	0.00965	0.815	-0.861	0.471	2.2	7138.0	0.442	1.0
theta_pr[1,67]	0.664	0.00589	0.47	-0.153	0.616	1.67	6350.0	0.394	1.0
theta_pr[1,68]	0.0495	0.0175	1.08	-1.51	-0.0672	2.2	3843.0	0.238	1.0
theta_pr[1,69]	-0.654	0.00963	0.539	-1.37	-0.776	0.765	3129.0	0.194	1.0
theta_pr[1,70]	-0.665	0.01	0.804	-2.06	-0.766	1.07	6423.0	0.398	1.0
theta_pr[1,71]	-0.375	0.0155	0.966	-1.55	-0.69	1.77	3897.0	0.242	1.0
theta_pr[1,72]	-0.466	0.019	1.02	-1.6	-0.917	1.86	2861.0	0.177	1.0
theta_pr[1,73]	-0.93	0.0196	0.874	-1.72	-1.25	1.57	1979.0	0.123	1.0
theta_pr[1,74]	-0.215	0.0166	0.98	-1.43	-0.504	1.9	3506.0	0.217	1.0
theta_pr[1,75]	1.04	0.0067	0.682	-0.209	0.997	2.42	10357.0	0.642	1.0
theta_pr[1,76]	0.503	0.00834	0.744	-0.763	0.433	2.05	7959.0	0.493	1.0
theta_pr[1,77]	0.342	0.00829	0.701	-0.769	0.245	1.88	7148.0	0.443	1.0
theta_pr[1,78]	1.24	0.00658	0.59	0.181	1.2	2.47	8036.0	0.498	1.0
