	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
a1[128]	0.155	0.000512	0.0517	0.0737	0.148	0.269	10221.0	0.0436	1.0
a1[129]	0.195	0.000591	0.0743	0.0675	0.188	0.354	15811.0	0.0675	1.0
a1[130]	0.11	0.000874	0.0581	0.0247	0.101	0.24	4418.0	0.0189	1.0
a1[131]	0.171	0.000509	0.0598	0.0713	0.164	0.298	13823.0	0.059	1.0
a1[132]	0.215	0.000794	0.0975	0.0609	0.202	0.427	15071.0	0.0643	1.0
a1[133]	0.204	0.000532	0.0711	0.0836	0.197	0.356	17885.0	0.0763	1.0
a1[134]	0.218	0.000645	0.0834	0.0803	0.209	0.397	16691.0	0.0712	1.0
a1[135]	0.121	0.00124	0.0837	0.0112	0.104	0.312	4531.0	0.0193	1.0
a1[136]	0.242	0.000761	0.0914	0.0965	0.23	0.446	14414.0	0.0615	1.0
a1[137]	0.195	0.000881	0.104	0.0393	0.179	0.428	13967.0	0.0596	1.0
a1[138]	0.259	0.00171	0.136	0.0428	0.238	0.559	6332.0	0.027	1.0
a1[139]	0.193	0.000544	0.0714	0.0737	0.185	0.345	17252.0	0.0736	1.0
a1[140]	0.163	0.00055	0.063	0.0651	0.154	0.303	13135.0	0.0561	1.0
a1[141]	0.213	0.00127	0.109	0.05	0.194	0.454	7406.0	0.0316	1.0
a1[142]	0.167	0.000507	0.0547	0.0729	0.161	0.283	11664.0	0.0498	1.0
a1[143]	0.174	0.000851	0.0853	0.0427	0.164	0.361	10067.0	0.043	1.0
a1[144]	0.129	0.00123	0.0928	0.0131	0.11	0.345	5720.0	0.0244	1.0
a1[145]	0.168	0.00111	0.101	0.018	0.154	0.39	8255.0	0.0352	1.0
a2[1]	0.0714	0.00019	0.0235	0.0363	0.0674	0.124	15296.0	0.0653	1.0
a2[2]	0.388	0.000699	0.0953	0.205	0.384	0.577	18572.0	0.0793	1.0
a2[3]	0.128	0.000675	0.0747	0.0365	0.108	0.313	12242.0	0.0522	1.0
a2[4]	0.0532	0.000619	0.0626	0.00588	0.0312	0.22	10222.0	0.0436	1.0
a2[5]	0.111	0.000229	0.0276	0.0634	0.109	0.169	14511.0	0.0619	1.0
a2[6]	0.228	0.000684	0.088	0.0922	0.213	0.423	16573.0	0.0707	1.0
a2[7]	0.202	0.000433	0.0567	0.088	0.201	0.309	17145.0	0.0732	1.0
a2[8]	0.418	0.000788	0.107	0.202	0.417	0.624	18529.0	0.0791	1.0
a2[9]	0.127	0.00148	0.113	0.0196	0.0814	0.403	5806.0	0.0248	1.0
a2[10]	0.114	0.000803	0.0825	0.0278	0.0861	0.324	10562.0	0.0451	1.0
a2[11]	0.18	0.000457	0.0605	0.0834	0.172	0.314	17484.0	0.0746	1.0
a2[12]	0.0523	0.00103	0.0821	0.0027	0.0214	0.283	6397.0	0.0273	1.0
a2[13]	0.052	0.00079	0.0746	0.00072	0.0237	0.249	8912.0	0.038	1.0
a2[14]	0.209	0.00146	0.146	0.0358	0.165	0.545	10035.0	0.0428	1.0
a2[15]	0.15	0.00238	0.183	0.0102	0.063	0.64	5925.0	0.0253	1.0
a2[16]	0.186	0.000459	0.0642	0.0843	0.178	0.328	19520.0	0.0833	1.0
a2[17]	0.157	0.000924	0.0979	0.0375	0.133	0.395	11233.0	0.0479	1.0
a2[18]	0.0633	0.00107	0.0827	0.00605	0.0308	0.302	6028.0	0.0257	1.0
a2[19]	0.157	0.000426	0.0561	0.0685	0.148	0.282	17313.0	0.0739	1.0
a2[20]	0.183	0.000576	0.0757	0.0681	0.171	0.355	17259.0	0.0737	1.0
a2[21]	0.247	0.00238	0.202	0.00992	0.203	0.656	7186.0	0.0307	1.0
a2[22]	0.335	0.00089	0.108	0.13	0.332	0.543	14644.0	0.0625	1.0
a2[23]	0.117	0.000285	0.0364	0.0589	0.112	0.198	16331.0	0.0697	1.0
a2[24]	0.368	0.000601	0.0839	0.199	0.367	0.528	19498.0	0.0832	1.0
a2[25]	0.0904	0.000276	0.0347	0.0413	0.0839	0.171	15740.0	0.0672	1.0
a2[26]	0.13	0.000687	0.0759	0.0414	0.109	0.319	12214.0	0.0521	1.0
a2[27]	0.136	0.000816	0.0888	0.0313	0.112	0.354	11843.0	0.0505	1.0
a2[28]	0.121	0.000618	0.0742	0.0312	0.103	0.303	14405.0	0.0615	1.0
a2[29]	0.09	0.000291	0.0362	0.0403	0.0827	0.174	15421.0	0.0658	1.0
a2[30]	0.106	0.00147	0.127	0.00536	0.0482	0.436	7399.0	0.0316	1.0
a2[31]	0.0568	0.0008	0.0738	0.00303	0.0295	0.255	8511.0	0.0363	1.0
a2[32]	0.05	0.000796	0.071	0.00034	0.0222	0.238	7952.0	0.0339	1.0
a2[33]	0.341	0.00176	0.155	0.0433	0.356	0.615	7751.0	0.0331	1.0
a2[34]	0.244	0.000559	0.0769	0.101	0.24	0.397	18917.0	0.0807	1.0
a2[35]	0.06	0.000745	0.0654	0.00958	0.0375	0.233	7707.0	0.0329	1.0
a2[36]	0.195	0.000367	0.0493	0.102	0.193	0.294	18120.0	0.0773	1.0
a2[37]	0.14	0.000334	0.0424	0.0708	0.135	0.232	16079.0	0.0686	1.0
a2[38]	0.0516	0.000727	0.0689	0.000777	0.0271	0.234	8987.0	0.0384	1.0
a2[39]	0.35	0.000981	0.121	0.0983	0.35	0.578	15245.0	0.0651	1.0
a2[40]	0.0975	0.00177	0.138	0.00174	0.0304	0.479	6120.0	0.0261	1.0
a2[41]	0.245	0.000772	0.0983	0.0751	0.236	0.449	16212.0	0.0692	1.0
a2[42]	0.0473	0.000853	0.0743	0.00109	0.019	0.255	7596.0	0.0324	1.0
a2[43]	0.108	0.000292	0.0387	0.0484	0.103	0.193	17547.0	0.0749	1.0
a2[44]	0.168	0.000356	0.0502	0.0821	0.163	0.274	19827.0	0.0846	1.0
a2[45]	0.283	0.000744	0.1	0.109	0.274	0.485	18054.0	0.077	1.0
a2[46]	0.116	0.0014	0.129	0.00637	0.061	0.455	8531.0	0.0364	1.0
a2[47]	0.282	0.00224	0.196	0.0173	0.25	0.701	7660.0	0.0327	1.0
