subject,accuracy,rt,reject
1059,0,545.0,0
1143,0,1008.0,0
1206,0,743.600000023842,0
1230,0,650.349999997765,0
1267,1,523.5500000249594,1
1288,0,888.100000008941,0
1297,0,1096.25,0
1328,0,1015.10000000149,0
1338,1,661.899999976158,1
1443,0,1093.80000001192,0
1462,0,709.5,0
147,0,765.149999976158,0
150,0,646.0,0
1571,0,875.5,0
1597,1,930.0,1
1624,0,1091.599999964235,0
1721,0,545.399999976158,0
1826,0,830.3999999910595,0
1827,0,800.9999999998836,0
1846,0,990.799999999814,0
1850,0,991.5,0
1851,0,731.0,0
1876,0,886.5,0
1883,1,685.6000000000935,1
198,0,976.299999952316,0
1980,0,806.600000023842,0
1981,0,935.7000000001865,0
1982,0,956.5,0
2030,1,597.699999809265,1
2039,1,576.899999991059,1
2040,0,662.300000000745,0
2062,0,803.6999999284745,0
2082,0,775.600000023842,0
2085,1,675.10000000149,1
2086,0,998.100000023842,0
2106,1,501.900000095367,1
2124,0,842.90000000596,0
2125,0,1456.95000000298,0
2135,0,914.200000047684,0
2138,0,792.0,0
2165,0,890.300000190735,0
2166,0,736.400000095367,0
2189,0,947.399999976158,0
22,0,854.649999976158,0
226,0,736.899999999441,0
2284,0,828.5,0
229,0,1098.19999998808,0
2312,0,936.5,0
2315,0,927.299999952316,0
2316,0,1142.0,0
2334,0,791.0,0
2335,1,789.0,1
2368,0,1039.849999997765,0
2388,0,838.10000000149,0
2406,0,1244.29999995232,0
2407,0,858.599999904633,0
2425,1,533.6999999880791,1
243,0,1137.19999980927,0
2430,0,812.54999999702,0
2497,1,1052.0,1
2506,0,1062.1499999985099,0
2509,1,1092.0,1
2541,1,1164.849999997765,1
2558,0,796.799999952316,0
2565,0,877.5000000596044,0
2571,0,873.699999988079,0
2575,0,679.550000011921,0
2599,0,529.700000047684,0
2606,0,524.599999964237,0
2608,1,700.5999999940395,1
263,0,617.000000000466,0
2675,0,973.89999999851,0
2709,0,1089.0,0
2752,1,582.75,1
2771,0,712.399999976158,0
2788,0,809.0,0
2792,0,918.8000000119209,0
2803,0,772.100000023842,0
2804,0,659.950000047684,0
2815,0,853.8500000089405,0
2855,0,818.9499999880791,0
2856,0,591.1000000238415,0
287,0,1046.14999997616,0
2870,0,720.0,0
2874,0,984.850000023842,0
2902,0,824.300000011921,0
2925,0,1025.0,0
293,0,798.199999988079,0
2935,0,712.8000000007451,0
296,0,1234.0,0
2981,0,1053.0499999999302,0
2986,0,787.7499999850991,0
3026,0,828.90000000596,0
3028,0,810.350000000559,0
3042,0,920.1000000238421,0
3045,0,1012.75000000745,0
3046,1,1010.95000001788,1
3049,0,843.999999999767,0
3054,0,974.39999961853,0
3055,1,1115.0000000298,1
3077,1,658.5,1
3081,0,1188.59999999404,0
3091,0,688.0,0
3097,0,990.100000023842,0
3106,0,1055.6000000014901,0
3111,0,819.6999999999534,0
3112,0,856.5500000715255,0
314,1,524.299999952316,1
3149,0,1019.800000190735,0
3158,0,964.0,0
3161,0,1085.0,0
3169,0,941.0499999523165,0
3170,0,684.90000000596,0
3172,0,768.200000047684,0
3192,0,602.300000190735,0
3206,0,832.700000000186,0
3207,0,838.100000023842,0
3223,0,1315.80000001192,0
3225,0,665.14999999851,0
3251,0,969.5499999998119,0
3273,0,670.099999999627,0
329,0,744.1999999284744,0
332,0,692.3999999761579,0
3330,0,742.2000000178815,0
351,0,862.5,0
37,0,741.0,0
384,0,893.100000023842,0
390,0,962.75,0
395,0,670.54999999702,0
404,0,1040.90000003576,0
437,0,990.60000000149,0
465,0,794.3000000715255,0
472,0,769.0,0
474,0,651.75,0
476,0,730.100000023842,0
487,0,734.79999999702,0
588,0,896.049999952316,0
592,0,814.999999999767,0
601,0,865.4000000059605,0
632,0,730.39999999851,0
661,0,1057.749999761585,0
672,0,717.0,0
704,0,766.75,0
709,0,872.100000023842,0
710,0,734.900000095367,0
74,0,947.550000000745,0
758,0,816.400000000373,0
787,0,635.25,0
813,0,713.0,0
828,0,685.3000000007451,0
843,0,757.5,0
863,0,660.5,0
877,0,1016.04999999702,0
879,0,703.1499999761585,0
917,0,1185.0,0
928,1,507.700000017881,1
957,0,1094.500000000115,0
973,0,785.3000000715256,0
