	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_pr[5,58]	-0.165	0.00457	0.361	-0.87	-0.181	0.551	6249.0	0.544	1.0
theta_pr[5,59]	-0.107	0.00639	0.567	-0.96	-0.228	1.19	7889.0	0.686	1.0
theta_pr[5,60]	0.0965	0.00643	0.68	-1.3	0.078	1.47	11175.0	0.972	1.0
theta_pr[5,61]	-1.58	0.00603	0.508	-2.48	-1.61	-0.548	7100.0	0.618	1.0
theta_pr[5,62]	0.392	0.00424	0.378	-0.306	0.369	1.17	7924.0	0.689	1.0
theta_pr[5,63]	-1.02	0.00873	0.672	-1.96	-1.17	0.766	5915.0	0.515	1.0
theta_pr[5,64]	-1.46	0.00562	0.507	-2.44	-1.48	-0.344	8133.0	0.708	1.0
theta_pr[5,65]	0.484	0.00577	0.333	-0.213	0.487	1.11	3323.0	0.289	1.0
theta_pr[5,66]	-0.491	0.00308	0.283	-1.05	-0.501	0.0721	8444.0	0.735	1.0
theta_pr[5,67]	0.696	0.00409	0.334	-0.000833	0.701	1.32	6662.0	0.58	1.0
theta_pr[5,68]	-1.49	0.00458	0.475	-2.53	-1.48	-0.631	10752.0	0.935	1.0
theta_pr[5,69]	0.733	0.00664	0.708	-0.575	0.735	2.05	11368.0	0.989	1.0
theta_pr[5,70]	-0.158	0.00581	0.817	-1.99	-0.11	1.27	19776.0	1.72	1.0
theta_pr[5,71]	-1.42	0.00506	0.516	-2.51	-1.42	-0.451	10400.0	0.905	1.0
theta_pr[5,72]	-1.04	0.0103	0.776	-2.21	-1.17	1.06	5620.0	0.489	1.0
theta_pr[5,73]	-1.84	0.011	0.823	-3.16	-1.98	0.257	5609.0	0.488	1.0
theta_pr[5,74]	-1.03	0.00841	0.585	-1.86	-1.14	0.576	4838.0	0.421	1.0
theta_pr[5,75]	0.257	0.004	0.291	-0.331	0.25	0.823	5277.0	0.459	1.0
theta_pr[5,76]	-0.194	0.00366	0.31	-0.798	-0.21	0.43	7145.0	0.622	1.0
theta_pr[5,77]	0.321	0.00396	0.312	-0.285	0.308	0.936	6207.0	0.54	1.0
theta_pr[5,78]	0.528	0.00576	0.382	-0.24	0.523	1.26	4414.0	0.384	1.0
theta_pr[5,79]	0.82	0.00477	0.374	0.0545	0.815	1.53	6155.0	0.535	1.0
theta_pr[5,80]	0.152	0.00385	0.3	-0.464	0.15	0.723	6079.0	0.529	1.0
theta_pr[5,81]	-0.874	0.00956	0.66	-1.78	-1.01	0.949	4773.0	0.415	1.0
theta_pr[5,82]	1.13	0.00327	0.327	0.482	1.13	1.78	10009.0	0.871	1.0
theta_pr[5,83]	-0.43	0.00388	0.328	-1.09	-0.433	0.207	7174.0	0.624	1.0
theta_pr[5,84]	1.28	0.00449	0.463	0.322	1.29	2.14	10623.0	0.924	1.0
theta_pr[5,85]	-0.259	0.00536	0.605	-1.57	-0.251	0.849	12742.0	1.11	1.0
theta_pr[5,86]	0.282	0.00463	0.385	-0.441	0.26	1.07	6892.0	0.6	1.0
theta_pr[5,87]	-0.837	0.00513	0.481	-1.63	-0.909	0.284	8762.0	0.762	1.0
theta_pr[5,88]	0.427	0.00331	0.308	-0.218	0.429	1.0	8658.0	0.753	1.0
theta_pr[5,89]	-0.382	0.0225	1.01	-1.38	-0.732	2.38	2014.0	0.175	1.0
theta_pr[5,90]	-1.67	0.00565	0.475	-2.58	-1.68	-0.791	7075.0	0.615	1.0
theta_pr[5,91]	0.659	0.00333	0.41	-0.112	0.641	1.48	15125.0	1.32	1.0
theta_pr[5,92]	-0.942	0.00534	0.393	-1.62	-0.97	-0.172	5421.0	0.472	1.0
theta_pr[5,93]	0.278	0.00525	0.317	-0.345	0.268	0.91	3653.0	0.318	1.0
theta_pr[5,94]	-0.838	0.00461	0.465	-1.75	-0.859	0.108	10202.0	0.887	1.0
theta_pr[5,95]	-0.544	0.00627	0.844	-2.29	-0.529	1.03	18137.0	1.58	1.0
theta_pr[5,96]	-0.29	0.00293	0.273	-0.84	-0.293	0.243	8677.0	0.755	1.0
theta_pr[5,97]	0.165	0.00359	0.301	-0.421	0.156	0.768	7044.0	0.613	1.0
theta_pr[5,98]	1.44	0.00403	0.37	0.702	1.44	2.15	8404.0	0.731	1.0
theta_pr[5,99]	1.65	0.00563	0.659	0.167	1.67	2.84	13719.0	1.19	1.0
theta_pr[5,100]	-1.05	0.00559	0.691	-2.56	-1.04	0.245	15269.0	1.33	1.0
theta_pr[5,101]	-0.421	0.00352	0.285	-1.0	-0.421	0.114	6566.0	0.571	1.0
theta_pr[5,102]	-0.778	0.00311	0.29	-1.35	-0.791	-0.202	8740.0	0.76	1.0
theta_pr[5,103]	-1.15	0.00584	0.61	-2.36	-1.17	0.0618	10906.0	0.949	1.0
theta_pr[5,104]	1.05	0.00337	0.359	0.327	1.04	1.74	11386.0	0.99	1.0
theta_pr[5,105]	-1.09	0.00537	0.427	-1.83	-1.13	-0.136	6337.0	0.551	1.0
theta_pr[5,106]	0.26	0.00434	0.338	-0.433	0.258	0.903	6067.0	0.528	1.0
theta_pr[5,107]	-0.138	0.00418	0.326	-0.829	-0.135	0.477	6104.0	0.531	1.0
theta_pr[5,108]	0.507	0.00426	0.329	-0.15	0.502	1.15	5942.0	0.517	1.0
theta_pr[5,109]	-0.656	0.0037	0.302	-1.28	-0.66	-0.0813	6671.0	0.58	1.0
theta_pr[5,110]	-0.0437	0.00308	0.292	-0.634	-0.0481	0.517	8972.0	0.78	1.0
theta_pr[5,111]	1.74	0.00528	0.632	0.428	1.75	2.94	14315.0	1.25	1.0
theta_pr[5,112]	0.628	0.00467	0.348	-0.0504	0.613	1.31	5550.0	0.483	1.0
theta_pr[5,113]	-0.788	0.00544	0.516	-1.83	-0.802	0.241	8987.0	0.782	1.0
theta_pr[5,114]	0.794	0.00324	0.331	0.119	0.793	1.42	10430.0	0.907	1.0
theta_pr[5,115]	0.661	0.00403	0.341	-0.0323	0.659	1.31	7165.0	0.623	1.0
theta_pr[5,116]	0.771	0.00322	0.332	0.107	0.767	1.41	10626.0	0.924	1.0
theta_pr[5,117]	2.13	0.00585	0.516	1.11	2.11	3.13	7781.0	0.677	1.0
theta_pr[5,118]	0.0482	0.00572	0.447	-0.845	0.0379	0.907	6110.0	0.531	1.0
theta_pr[5,119]	0.792	0.00422	0.502	-0.0838	0.748	1.85	14161.0	1.23	1.0
theta_pr[5,120]	0.646	0.00418	0.32	0.0202	0.638	1.27	5874.0	0.511	1.0
theta_pr[5,121]	0.0181	0.00419	0.339	-0.661	0.00824	0.674	6538.0	0.569	1.0
theta_pr[5,122]	-1.39	0.0129	0.716	-2.36	-1.52	0.773	3075.0	0.268	1.0
theta_pr[5,123]	-2.01	0.0121	0.841	-3.36	-2.14	0.127	4816.0	0.419	1.0
theta_pr[5,124]	0.125	0.00365	0.337	-0.524	0.106	0.804	8522.0	0.741	1.0
theta_pr[5,125]	-1.75	0.0055	0.513	-2.84	-1.75	-0.836	8694.0	0.756	1.0
theta_pr[5,126]	-0.0321	0.00414	0.391	-0.784	-0.0534	0.75	8927.0	0.777	1.0
theta_pr[5,127]	0.351	0.00367	0.308	-0.27	0.349	0.945	7028.0	0.611	1.0
theta_pr[5,128]	0.447	0.00384	0.304	-0.167	0.436	1.04	6279.0	0.546	1.0
theta_pr[5,129]	0.0164	0.00447	0.44	-0.721	-0.0536	1.01	9668.0	0.841	1.0
theta_pr[5,130]	-0.685	0.0037	0.339	-1.36	-0.697	-0.0136	8413.0	0.732	1.0
theta_pr[5,131]	-0.216	0.00373	0.291	-0.828	-0.212	0.33	6059.0	0.527	1.0
theta_pr[5,132]	0.316	0.00546	0.619	-0.819	0.282	1.59	12871.0	1.12	1.0
theta_pr[5,133]	0.229	0.00901	0.726	-1.03	0.216	1.56	6496.0	0.565	1.0
