	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-29300.0	0.322	22.5	-29300.0	-29300.0	-29200.0	4880.0	0.0288	1.0
theta_mu[1,1]	1.82	0.00342	0.17	1.49	1.81	2.16	2470.0	0.0146	1.0
theta_mu[1,2]	1.82	0.00715	0.177	1.46	1.82	2.16	611.0	0.00361	1.01
theta_mu[2,1]	-1.42	0.00176	0.0778	-1.58	-1.42	-1.27	1959.0	0.0116	1.0
theta_mu[2,2]	-1.38	0.00216	0.0792	-1.54	-1.38	-1.23	1343.0	0.00794	1.01
theta_c_pr[1,1]	1.46	0.00524	0.642	0.281	1.42	2.77	15044.0	0.089	1.0
theta_c_pr[1,2]	-1.16	0.00357	0.179	-1.54	-1.15	-0.828	2507.0	0.0148	1.0
theta_c_pr[1,3]	0.49	0.005	0.592	-0.448	0.4	1.81	13988.0	0.0827	1.0
theta_c_pr[1,4]	-1.06	0.00845	0.521	-1.76	-1.14	0.334	3800.0	0.0225	1.0
theta_c_pr[1,5]	1.85	0.0597	0.798	-0.354	1.87	3.28	178.0	0.00105	1.04
theta_c_pr[1,6]	-0.584	0.00392	0.278	-1.08	-0.605	-0.0139	5032.0	0.0298	1.0
theta_c_pr[1,7]	0.251	0.00617	0.577	-0.766	0.2	1.45	8744.0	0.0517	1.0
theta_c_pr[1,8]	-0.539	0.00396	0.236	-1.03	-0.538	-0.0979	3533.0	0.0209	1.0
theta_c_pr[1,9]	-0.0441	0.00895	1.06	-1.98	-0.061	1.95	14087.0	0.0833	1.0
theta_c_pr[1,10]	0.194	0.00639	0.725	-0.916	0.0791	1.77	12870.0	0.0761	1.0
theta_c_pr[1,11]	0.792	0.005	0.661	-0.361	0.728	2.17	17428.0	0.103	1.0
theta_c_pr[1,12]	-0.553	0.00767	0.765	-1.54	-0.776	1.37	9929.0	0.0587	1.0
theta_c_pr[1,13]	-0.135	0.00681	0.783	-1.36	-0.251	1.54	13210.0	0.0781	1.0
theta_c_pr[1,14]	0.063	0.007	0.824	-1.21	-0.0611	1.82	13857.0	0.082	1.0
theta_c_pr[1,15]	0.449	0.0274	0.737	-0.89	0.404	1.94	724.0	0.00428	1.01
theta_c_pr[1,16]	-0.758	0.00502	0.382	-1.34	-0.811	0.129	5808.0	0.0344	1.0
theta_c_pr[1,17]	0.0229	0.00821	0.881	-1.24	-0.127	1.92	11510.0	0.0681	1.0
theta_c_pr[1,18]	1.23	0.00516	0.685	-0.0616	1.2	2.59	17648.0	0.104	1.0
theta_c_pr[1,19]	-0.878	0.00401	0.292	-1.33	-0.909	-0.284	5280.0	0.0312	1.0
theta_c_pr[1,20]	-1.64	0.00474	0.219	-2.06	-1.64	-1.27	2140.0	0.0127	1.0
theta_c_pr[1,21]	-0.456	0.00549	0.457	-1.18	-0.525	0.593	6909.0	0.0409	1.0
theta_c_pr[1,22]	0.563	0.00547	0.795	-0.937	0.526	2.15	21154.0	0.125	1.0
theta_c_pr[1,23]	0.0418	0.00427	0.417	-0.656	-0.00707	0.957	9525.0	0.0563	1.0
theta_c_pr[1,24]	1.3	0.00488	0.598	0.228	1.25	2.55	15016.0	0.0888	1.0
theta_c_pr[1,25]	0.355	0.00554	0.796	-1.14	0.315	1.91	20611.0	0.122	1.0
theta_c_pr[1,26]	-0.399	0.00788	0.898	-1.72	-0.553	1.52	13005.0	0.0769	1.0
theta_c_pr[1,27]	-0.29	0.0055	0.612	-1.22	-0.412	1.16	12345.0	0.073	1.0
theta_c_pr[1,28]	1.53	0.00443	0.62	0.368	1.49	2.79	19586.0	0.116	1.0
theta_c_pr[1,29]	-0.31	0.0149	1.05	-1.57	-0.699	2.0	4951.0	0.0293	1.0
theta_c_pr[1,30]	-1.08	0.0077	0.493	-1.59	-1.17	0.401	4104.0	0.0243	1.0
theta_c_pr[1,31]	-0.482	0.0177	1.13	-1.66	-1.04	2.14	4072.0	0.0241	1.0
theta_c_pr[1,32]	-0.385	0.0058	0.598	-1.17	-0.537	1.11	10644.0	0.063	1.0
theta_c_pr[1,33]	0.601	0.00478	0.496	-0.202	0.53	1.71	10738.0	0.0635	1.0
theta_c_pr[1,34]	-0.456	0.00947	0.899	-1.47	-0.811	1.69	9017.0	0.0533	1.0
theta_c_pr[1,35]	1.62	0.00554	0.65	0.393	1.58	2.92	13765.0	0.0814	1.0
theta_c_pr[1,36]	1.62	0.00479	0.613	0.498	1.58	2.87	16391.0	0.0969	1.0
theta_c_pr[1,37]	-0.618	0.0197	1.17	-1.75	-1.2	2.15	3522.0	0.0208	1.0
