	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-29300.0	0.377	22.5	-29300.0	-29300.0	-29200.0	3550.0	0.0408	1.0
theta_mu[1,1]	1.82	0.00362	0.17	1.49	1.81	2.16	2211.0	0.0254	1.0
theta_mu[1,2]	1.82	0.00812	0.179	1.47	1.82	2.18	485.0	0.00557	1.01
theta_mu[2,1]	-1.42	0.00161	0.0766	-1.58	-1.42	-1.27	2270.0	0.026	1.0
theta_mu[2,2]	-1.38	0.00207	0.0789	-1.54	-1.38	-1.23	1445.0	0.0166	1.0
theta_c_pr[1,1]	1.46	0.00554	0.64	0.271	1.42	2.74	13329.0	0.153	1.0
theta_c_pr[1,2]	-1.15	0.0037	0.179	-1.54	-1.15	-0.823	2340.0	0.0269	1.0
theta_c_pr[1,3]	0.487	0.00513	0.585	-0.454	0.404	1.77	12997.0	0.149	1.0
theta_c_pr[1,4]	-1.06	0.00811	0.528	-1.77	-1.14	0.398	4233.0	0.0486	1.0
theta_c_pr[1,5]	1.84	0.0633	0.816	-0.438	1.88	3.26	166.0	0.00191	1.02
theta_c_pr[1,6]	-0.578	0.00398	0.286	-1.08	-0.602	0.0216	5150.0	0.0591	1.0
theta_c_pr[1,7]	0.256	0.00754	0.592	-0.773	0.197	1.53	6173.0	0.0708	1.0
theta_c_pr[1,8]	-0.54	0.004	0.237	-1.04	-0.537	-0.0985	3514.0	0.0403	1.0
theta_c_pr[1,9]	-0.0698	0.0106	1.07	-1.99	-0.0767	1.95	10102.0	0.116	1.0
theta_c_pr[1,10]	0.184	0.00737	0.724	-0.935	0.0692	1.75	9655.0	0.111	1.0
theta_c_pr[1,11]	0.788	0.00627	0.648	-0.335	0.733	2.13	10702.0	0.123	1.0
theta_c_pr[1,12]	-0.556	0.00848	0.755	-1.54	-0.772	1.33	7924.0	0.0909	1.0
theta_c_pr[1,13]	-0.127	0.00736	0.795	-1.35	-0.246	1.61	11682.0	0.134	1.0
theta_c_pr[1,14]	0.0629	0.00731	0.822	-1.21	-0.0646	1.81	12660.0	0.145	1.0
theta_c_pr[1,15]	0.449	0.0282	0.729	-0.859	0.397	1.94	665.0	0.00763	1.01
theta_c_pr[1,16]	-0.752	0.0059	0.397	-1.35	-0.811	0.202	4533.0	0.052	1.0
theta_c_pr[1,17]	0.0381	0.009	0.882	-1.24	-0.114	1.91	9594.0	0.11	1.0
theta_c_pr[1,18]	1.22	0.0056	0.689	-0.0662	1.19	2.61	15153.0	0.174	1.0
theta_c_pr[1,19]	-0.875	0.00513	0.297	-1.34	-0.909	-0.268	3363.0	0.0386	1.0
theta_c_pr[1,20]	-1.63	0.00527	0.237	-2.05	-1.63	-1.27	2021.0	0.0232	1.0
theta_c_pr[1,21]	-0.453	0.00624	0.449	-1.17	-0.522	0.586	5174.0	0.0594	1.0
theta_c_pr[1,22]	0.561	0.00643	0.802	-0.939	0.528	2.14	15586.0	0.179	1.0
theta_c_pr[1,23]	0.0436	0.00492	0.413	-0.648	-0.00349	0.951	7048.0	0.0809	1.0
theta_c_pr[1,24]	1.3	0.00516	0.6	0.22	1.25	2.54	13524.0	0.155	1.0
theta_c_pr[1,25]	0.35	0.00648	0.798	-1.16	0.311	1.94	15172.0	0.174	1.0
theta_c_pr[1,26]	-0.395	0.00897	0.901	-1.72	-0.551	1.54	10098.0	0.116	1.0
theta_c_pr[1,27]	-0.296	0.00602	0.602	-1.22	-0.407	1.11	10008.0	0.115	1.0
theta_c_pr[1,28]	1.54	0.00566	0.634	0.354	1.51	2.8	12532.0	0.144	1.0
theta_c_pr[1,29]	-0.284	0.0147	1.07	-1.59	-0.659	2.02	5223.0	0.0599	1.0
theta_c_pr[1,30]	-1.08	0.00791	0.491	-1.6	-1.17	0.344	3853.0	0.0442	1.0
theta_c_pr[1,31]	-0.471	0.0185	1.13	-1.66	-1.03	2.1	3697.0	0.0424	1.0
theta_c_pr[1,32]	-0.389	0.00613	0.591	-1.16	-0.539	1.07	9281.0	0.107	1.0
theta_c_pr[1,33]	0.593	0.00518	0.485	-0.213	0.532	1.65	8745.0	0.1	1.0
theta_c_pr[1,34]	-0.467	0.0105	0.895	-1.47	-0.826	1.66	7224.0	0.0829	1.0
theta_c_pr[1,35]	1.62	0.00638	0.65	0.392	1.59	2.92	10358.0	0.119	1.0
theta_c_pr[1,36]	1.62	0.00541	0.606	0.515	1.59	2.84	12524.0	0.144	1.0
theta_c_pr[1,37]	-0.609	0.0206	1.16	-1.75	-1.19	2.14	3206.0	0.0368	1.0
theta_c_pr[1,38]	-0.77	0.0103	0.807	-1.58	-1.07	1.43	6145.0	0.0705	1.0
theta_c_pr[1,39]	0.615	0.00719	0.88	-1.08	0.592	2.35	14989.0	0.172	1.0
theta_c_pr[1,40]	0.249	0.00671	0.835	-1.25	0.194	1.94	15491.0	0.178	1.0
theta_c_pr[1,41]	0.0375	0.0313	1.46	-2.51	0.251	2.46	2182.0	0.025	1.0
theta_c_pr[1,42]	0.206	0.00641	0.621	-0.784	0.111	1.61	9362.0	0.107	1.0
theta_c_pr[1,43]	-0.154	0.00418	0.304	-0.682	-0.184	0.486	5294.0	0.0608	1.0
theta_c_pr[1,44]	-1.15	0.00651	0.288	-1.7	-1.17	-0.581	1959.0	0.0225	1.0
theta_c_pr[1,45]	-0.511	0.0273	1.41	-2.3	-0.734	2.18	2662.0	0.0305	1.0
theta_c_pr[1,46]	-0.148	0.016	1.13	-1.58	-0.388	2.19	4996.0	0.0573	1.0
theta_c_pr[1,47]	-0.366	0.00475	0.514	-1.14	-0.459	0.822	11693.0	0.134	1.0
theta_c_pr[1,48]	-0.306	0.00689	0.502	-1.11	-0.38	0.829	5322.0	0.0611	1.0
theta_c_pr[1,49]	-0.727	0.0106	0.961	-1.8	-1.12	1.56	8155.0	0.0936	1.0
theta_c_pr[1,50]	-0.0255	0.00662	0.668	-0.969	-0.165	1.53	10184.0	0.117	1.0
theta_c_pr[1,51]	0.505	0.00602	0.692	-0.657	0.423	1.98	13199.0	0.151	1.0
theta_c_pr[1,52]	-0.531	0.00542	0.431	-1.12	-0.621	0.549	6321.0	0.0725	1.0
theta_c_pr[1,53]	0.776	0.0851	1.0	-1.75	0.825	2.52	139.0	0.0016	1.03
theta_c_pr[1,54]	0.226	0.00653	0.822	-1.24	0.172	1.86	15871.0	0.182	1.0
theta_c_pr[1,55]	-0.103	0.0131	1.09	-1.75	-0.17	2.03	6973.0	0.08	1.0
theta_c_pr[1,56]	0.167	0.0102	0.984	-1.28	0.0488	2.18	9239.0	0.106	1.0
theta_c_pr[1,57]	-0.313	0.0154	1.08	-1.54	-0.74	2.08	4906.0	0.0563	1.0
theta_c_pr[1,58]	0.713	0.00536	0.541	-0.249	0.662	1.85	10183.0	0.117	1.0
theta_c_pr[1,59]	-0.378	0.00826	0.785	-1.32	-0.646	1.51	9024.0	0.104	1.0
theta_c_pr[1,60]	1.52	0.00536	0.623	0.391	1.47	2.81	13485.0	0.155	1.0
theta_c_pr[1,61]	0.155	0.0071	0.764	-0.989	0.0209	1.82	11582.0	0.133	1.0
theta_c_pr[1,62]	0.316	0.00505	0.567	-0.581	0.225	1.6	12597.0	0.145	1.0
theta_c_pr[1,63]	0.075	0.00785	0.823	-1.15	-0.0574	1.84	10983.0	0.126	1.0
theta_c_pr[1,64]	-0.566	0.0223	1.18	-1.81	-1.13	2.22	2811.0	0.0323	1.0
theta_c_pr[1,65]	0.209	0.00957	0.919	-1.24	0.124	2.08	9218.0	0.106	1.0
theta_c_pr[1,66]	0.824	0.0111	0.697	-0.414	0.765	2.28	3912.0	0.0449	1.0
theta_c_pr[1,67]	0.71	0.00622	0.728	-0.554	0.644	2.21	13697.0	0.157	1.0
theta_c_pr[1,68]	1.12	0.00551	0.722	-0.198	1.08	2.57	17134.0	0.197	1.0
theta_c_pr[1,69]	0.306	0.00595	0.627	-0.672	0.206	1.68	11098.0	0.127	1.0
theta_c_pr[1,70]	0.415	0.0056	0.592	-0.512	0.324	1.74	11189.0	0.128	1.0
theta_c_pr[1,71]	0.524	0.00677	0.582	-0.572	0.486	1.69	7387.0	0.0848	1.0
theta_c_pr[1,72]	0.955	0.00532	0.662	-0.201	0.897	2.33	15452.0	0.177	1.0
theta_c_pr[1,73]	-0.61	0.0107	0.843	-1.52	-0.946	1.54	6258.0	0.0718	1.0
theta_c_pr[1,74]	0.36	0.0103	0.441	-0.41	0.313	1.3	1815.0	0.0208	1.0
theta_c_pr[1,75]	-0.00664	0.00722	0.783	-1.19	-0.148	1.73	11749.0	0.135	1.0
theta_c_pr[1,76]	-0.803	0.00435	0.241	-1.23	-0.818	-0.356	3068.0	0.0352	1.0
theta_c_pr[1,77]	0.637	0.006	0.701	-0.553	0.567	2.1	13657.0	0.157	1.0
theta_c_pr[1,78]	-0.334	0.00803	0.854	-1.52	-0.519	1.57	11306.0	0.13	1.0
theta_c_pr[1,79]	-0.0987	0.00428	0.365	-0.718	-0.143	0.702	7300.0	0.0838	1.0
theta_c_pr[1,80]	0.281	0.0089	0.903	-1.28	0.227	2.08	10280.0	0.118	1.0
theta_c_pr[1,81]	0.397	0.00571	0.662	-0.68	0.315	1.84	13420.0	0.154	1.0
theta_c_pr[1,82]	1.31	0.0296	0.742	-0.199	1.29	2.76	627.0	0.0072	1.01
theta_c_pr[1,83]	-0.389	0.0192	1.17	-1.64	-0.968	2.23	3732.0	0.0428	1.0
theta_c_pr[1,84]	0.635	0.0332	0.839	-0.904	0.587	2.33	640.0	0.00734	1.01
theta_c_pr[1,85]	0.442	0.0202	0.854	-1.02	0.377	2.19	1790.0	0.0205	1.0
theta_c_pr[1,86]	-0.109	0.00426	0.275	-0.608	-0.129	0.454	4151.0	0.0476	1.0
theta_c_pr[1,87]	-1.26	0.00396	0.187	-1.66	-1.26	-0.925	2224.0	0.0255	1.0
theta_c_pr[1,88]	-0.0379	0.00691	0.752	-1.08	-0.196	1.69	11842.0	0.136	1.0
theta_c_pr[1,89]	-0.216	0.00948	0.932	-1.58	-0.359	1.75	9681.0	0.111	1.0
theta_c_pr[1,90]	-0.286	0.00462	0.36	-0.869	-0.333	0.501	6068.0	0.0696	1.0
theta_c_pr[1,91]	-0.542	0.00983	0.896	-1.61	-0.858	1.55	8313.0	0.0954	1.0
theta_c_pr[1,92]	0.211	0.00926	0.363	-0.428	0.179	0.982	1534.0	0.0176	1.0
theta_c_pr[1,93]	0.34	0.00944	0.814	-1.04	0.265	2.03	7428.0	0.0852	1.0
theta_c_pr[1,94]	1.76	0.0053	0.678	0.484	1.72	3.11	16390.0	0.188	1.0
theta_c_pr[1,95]	0.0868	0.00841	0.851	-1.25	-0.0113	1.87	10235.0	0.117	1.0
theta_c_pr[1,96]	-0.14	0.00613	0.666	-1.09	-0.294	1.42	11815.0	0.136	1.0
theta_c_pr[1,97]	-1.25	0.00456	0.269	-1.83	-1.24	-0.771	3485.0	0.04	1.0
theta_c_pr[1,98]	0.337	0.0147	0.731	-0.86	0.245	1.89	2456.0	0.0282	1.0
theta_c_pr[1,99]	-0.312	0.013	0.992	-1.59	-0.632	1.9	5804.0	0.0666	1.0
theta_c_pr[1,100]	-0.61	0.0042	0.37	-1.25	-0.647	0.172	7755.0	0.089	1.0
theta_c_pr[1,101]	-1.14	0.00376	0.275	-1.65	-1.16	-0.62	5363.0	0.0615	1.0
