	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-2670.0	0.196	7.92	-2690.0	-2670.0	-2660.0	1640.0	0.42	1.0
theta_mu[1,1]	1.26	0.00788	0.412	0.495	1.23	2.11	2743.0	0.703	1.0
theta_mu[1,2]	0.869	0.00527	0.34	0.22	0.853	1.56	4152.0	1.06	1.0
theta_mu[2,1]	-1.21	0.00794	0.355	-1.88	-1.22	-0.491	2002.0	0.513	1.0
theta_mu[2,2]	-1.18	0.00525	0.332	-1.84	-1.18	-0.543	3988.0	1.02	1.0
theta_c_pr[1,1]	-0.737	0.0129	0.848	-2.37	-0.787	1.02	4299.0	1.1	1.0
theta_c_pr[1,2]	0.716	0.0216	0.873	-1.0	0.661	2.56	1627.0	0.417	1.0
theta_c_pr[1,3]	-0.598	0.0117	0.905	-2.3	-0.673	1.3	6014.0	1.54	1.0
theta_c_pr[1,4]	-0.418	0.0109	0.921	-2.12	-0.5	1.53	7178.0	1.84	1.0
theta_c_pr[1,5]	0.567	0.00802	0.683	-0.894	0.555	1.87	7246.0	1.86	1.0
theta_c_pr[1,6]	1.05	0.00893	0.679	-0.374	1.03	2.36	5778.0	1.48	1.0
theta_c_pr[1,7]	-0.355	0.00955	0.833	-1.91	-0.43	1.35	7609.0	1.95	1.0
theta_c_pr[1,8]	0.292	0.00832	0.741	-1.21	0.259	1.78	7928.0	2.03	1.0
theta_c_pr[1,9]	0.769	0.0093	0.788	-0.876	0.748	2.28	7187.0	1.84	1.0
theta_c_pr[1,10]	-0.161	0.00815	0.701	-1.67	-0.169	1.22	7399.0	1.9	1.0
theta_c_pr[1,11]	0.015	0.00891	0.665	-1.42	0.0264	1.28	5570.0	1.43	1.0
theta_c_pr[2,1]	0.174	0.0157	0.928	-1.59	0.123	1.99	3474.0	0.891	1.0
theta_c_pr[2,2]	-0.641	0.018	0.785	-2.41	-0.602	0.753	1910.0	0.49	1.0
theta_c_pr[2,3]	-0.877	0.0209	1.05	-2.66	-1.03	1.31	2500.0	0.641	1.0
