	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1[1,58]	13.3	0.115	8.89	1.86	11.7	32.7	5970.0	0.228	1.0
b1[1,59]	26.2	0.0639	5.46	16.1	25.8	37.3	7311.0	0.279	1.0
b1[1,60]	19.5	0.0764	7.26	7.92	18.6	35.2	9037.0	0.345	1.0
b1[1,61]	28.2	0.0806	7.43	15.1	27.5	43.6	8499.0	0.325	1.0
b1[1,62]	19.1	0.0725	7.5	6.44	18.4	34.9	10708.0	0.409	1.0
b1[1,63]	15.7	0.0658	6.49	6.2	14.6	30.3	9733.0	0.372	1.0
b1[1,64]	1.97	0.0526	2.13	0.934	1.65	3.74	1642.0	0.0627	1.0
b1[1,65]	20.6	0.0531	5.67	11.5	19.9	32.9	11408.0	0.436	1.0
b1[1,66]	12.5	0.137	9.11	0.682	11.1	32.3	4423.0	0.169	1.0
b1[1,67]	18.0	0.0337	3.57	11.9	17.6	25.7	11214.0	0.429	1.0
b1[1,68]	10.2	0.0355	2.75	6.57	9.64	16.8	6005.0	0.23	1.0
b1[1,69]	26.2	0.0573	6.75	14.6	25.5	40.5	13871.0	0.53	1.0
b1[1,70]	3.5	0.0108	0.834	2.35	3.37	5.24	5941.0	0.227	1.0
b1[1,71]	7.25	0.0334	2.56	4.19	6.63	13.4	5844.0	0.223	1.0
b1[1,72]	8.91	0.0397	2.75	5.19	8.39	15.2	4781.0	0.183	1.0
b1[1,73]	24.5	0.0576	6.5	13.2	23.9	38.0	12764.0	0.488	1.0
b1[1,74]	21.9	0.103	7.52	9.63	21.2	37.8	5356.0	0.205	1.0
b1[1,75]	15.3	0.279	10.8	1.8	13.2	37.5	1498.0	0.0573	1.0
b1[1,76]	18.0	0.0762	6.6	8.53	16.9	33.2	7502.0	0.287	1.0
b1[1,77]	22.0	0.0533	6.32	11.6	21.2	35.7	14072.0	0.538	1.0
b1[1,78]	24.4	0.079	6.9	13.0	23.6	39.3	7628.0	0.292	1.0
b1[1,79]	14.9	0.0671	6.45	5.75	13.7	29.6	9242.0	0.353	1.0
b1[1,80]	13.7	0.124	7.78	3.08	12.3	31.1	3930.0	0.15	1.0
b1[1,81]	22.4	0.0585	6.53	11.6	21.7	36.2	12460.0	0.476	1.0
b1[1,82]	10.7	0.089	6.72	3.21	8.54	27.3	5705.0	0.218	1.0
b1[2,1]	27.8	0.0532	6.09	17.2	27.3	40.7	13098.0	0.501	1.0
b1[2,2]	5.38	0.0994	4.92	2.05	3.53	20.2	2451.0	0.0937	1.0
b1[2,3]	0.236	0.384	5.76	-3.42	-0.664	16.7	224.0	0.00858	1.02
b1[2,4]	7.98	0.038	3.11	4.13	7.26	15.4	6735.0	0.257	1.0
b1[2,5]	23.5	0.0464	5.31	14.3	23.1	34.7	13096.0	0.501	1.0
b1[2,6]	9.36	0.0124	1.37	6.86	9.29	12.2	12251.0	0.468	1.0
b1[2,7]	12.4	0.114	8.12	2.08	10.6	30.9	5030.0	0.192	1.0
b1[2,8]	17.6	0.0631	6.45	7.6	16.7	31.6	10453.0	0.4	1.0
b1[2,9]	23.5	0.0621	6.11	13.2	22.8	36.5	9691.0	0.37	1.0
b1[2,10]	11.0	0.0931	7.18	2.54	9.06	27.6	5948.0	0.227	1.0
b1[2,11]	9.21	0.175	9.66	-1.03	5.98	31.4	3055.0	0.117	1.0
b1[2,12]	6.43	0.145	8.41	-2.52	3.06	27.3	3375.0	0.129	1.0
b1[2,13]	11.9	0.0471	4.12	6.45	11.0	21.7	7674.0	0.293	1.0
b1[2,14]	21.0	0.0398	4.79	12.8	20.5	31.2	14470.0	0.553	1.0
b1[2,15]	13.6	0.117	8.33	2.67	12.2	31.7	5035.0	0.192	1.0
b1[2,16]	15.8	0.0578	6.17	6.63	14.8	29.7	11402.0	0.436	1.0
b1[2,17]	17.5	0.0556	5.94	8.39	16.6	30.8	11429.0	0.437	1.0
b1[2,18]	6.88	0.0427	3.47	3.25	5.84	15.8	6592.0	0.252	1.0
b1[2,19]	10.8	0.0328	3.0	6.56	10.2	17.8	8394.0	0.321	1.0
b1[2,20]	-1.29	0.236	3.5	-4.29	-1.49	0.0961	221.0	0.00843	1.02
b1[2,21]	21.8	0.061	6.83	10.5	21.0	36.4	12549.0	0.48	1.0
b1[2,22]	6.94	0.142	7.35	0.0459	4.06	25.7	2700.0	0.103	1.0
b1[2,23]	12.8	0.102	8.1	1.22	11.5	30.2	6338.0	0.242	1.0
b1[2,24]	8.63	0.138	8.75	-1.28	5.92	28.4	4011.0	0.153	1.0
b1[2,25]	22.3	0.0416	4.57	14.6	21.8	32.3	12088.0	0.462	1.0
b1[2,26]	13.2	0.09	7.29	3.14	12.0	29.3	6571.0	0.251	1.0
