	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
lp__	-17200.0	0.306	17.7	-17200.0	-17200.0	-17200.0	3350.0	0.0862	1.0
theta_mu[1,1]	1.73	0.00265	0.194	1.36	1.72	2.12	5370.0	0.138	1.0
theta_mu[1,2]	1.44	0.00724	0.187	1.1	1.43	1.83	665.0	0.0171	1.01
theta_mu[2,1]	-1.44	0.0016	0.0905	-1.63	-1.44	-1.27	3214.0	0.0828	1.0
theta_mu[2,2]	-1.32	0.0028	0.0988	-1.53	-1.32	-1.14	1240.0	0.0319	1.0
theta_c_pr[1,1]	1.71	0.00491	0.669	0.452	1.68	3.03	18604.0	0.479	1.0
theta_c_pr[1,2]	-1.16	0.01	0.652	-2.04	-1.29	0.68	4228.0	0.109	1.0
theta_c_pr[1,3]	-0.174	0.058	0.71	-1.06	-0.325	1.92	150.0	0.00386	1.02
theta_c_pr[1,4]	-0.599	0.00487	0.42	-1.31	-0.645	0.329	7436.0	0.191	1.0
theta_c_pr[1,5]	0.817	0.00522	0.615	-0.316	0.77	2.07	13882.0	0.357	1.0
theta_c_pr[1,6]	-0.553	0.00401	0.298	-1.15	-0.557	0.0231	5513.0	0.142	1.0
theta_c_pr[1,7]	-0.178	0.00719	0.941	-1.82	-0.25	1.73	17134.0	0.441	1.0
theta_c_pr[1,8]	0.359	0.0056	0.751	-0.934	0.293	1.93	17949.0	0.462	1.0
theta_c_pr[1,9]	1.02	0.00488	0.681	-0.221	0.969	2.41	19462.0	0.501	1.0
theta_c_pr[1,10]	-0.307	0.00786	0.878	-1.63	-0.47	1.6	12483.0	0.321	1.0
theta_c_pr[1,11]	-0.512	0.0148	1.16	-2.3	-0.624	1.8	6076.0	0.156	1.0
theta_c_pr[1,12]	-0.485	0.0106	0.996	-1.94	-0.69	1.71	8874.0	0.229	1.0
theta_c_pr[1,13]	-0.215	0.00461	0.549	-1.12	-0.288	1.01	14213.0	0.366	1.0
theta_c_pr[1,14]	0.201	0.00786	0.583	-0.821	0.139	1.46	5499.0	0.142	1.0
theta_c_pr[1,15]	-0.405	0.00961	1.03	-1.98	-0.529	1.71	11389.0	0.293	1.0
theta_c_pr[1,16]	0.111	0.00568	0.746	-1.13	0.0222	1.7	17263.0	0.445	1.0
theta_c_pr[1,17]	0.705	0.00479	0.705	-0.541	0.643	2.15	21638.0	0.557	1.0
theta_c_pr[1,18]	-0.64	0.0053	0.528	-1.45	-0.734	0.648	9952.0	0.256	1.0
theta_c_pr[1,19]	-1.16	0.0555	0.7	-2.3	-1.23	0.528	159.0	0.0041	1.02
theta_c_pr[1,20]	0.545	0.005	0.78	-0.88	0.495	2.11	24304.0	0.626	1.0
theta_c_pr[1,21]	-0.53	0.00942	0.938	-1.97	-0.692	1.55	9922.0	0.256	1.0
theta_c_pr[1,22]	0.122	0.00833	0.923	-1.46	0.0608	2.01	12273.0	0.316	1.0
theta_c_pr[1,23]	-0.263	0.0106	1.03	-1.81	-0.414	1.87	9311.0	0.24	1.0
theta_c_pr[1,24]	0.576	0.0057	0.597	-0.442	0.509	1.86	10962.0	0.282	1.0
theta_c_pr[1,25]	-0.154	0.00787	0.887	-1.57	-0.256	1.71	12718.0	0.328	1.0
theta_c_pr[1,26]	1.67	0.00452	0.656	0.455	1.63	2.99	21072.0	0.543	1.0
theta_c_pr[1,27]	0.248	0.00557	0.772	-1.08	0.169	1.87	19214.0	0.495	1.0
theta_c_pr[1,28]	0.256	0.00475	0.627	-0.784	0.17	1.6	17395.0	0.448	1.0
theta_c_pr[1,29]	0.197	0.00609	0.831	-1.22	0.114	1.94	18571.0	0.478	1.0
theta_c_pr[1,30]	-0.579	0.0148	1.17	-2.15	-0.933	1.95	6303.0	0.162	1.0
theta_c_pr[1,31]	0.118	0.00788	0.917	-1.44	0.0425	1.98	13549.0	0.349	1.0
theta_c_pr[1,32]	0.204	0.0133	0.799	-1.03	0.0682	1.94	3601.0	0.0927	1.0
theta_c_pr[1,33]	0.51	0.00512	0.725	-0.734	0.426	2.03	20010.0	0.515	1.0
theta_c_pr[1,34]	1.2	0.00467	0.74	-0.175	1.17	2.68	25045.0	0.645	1.0
theta_c_pr[1,35]	0.422	0.00539	0.703	-0.782	0.351	1.88	17018.0	0.438	1.0
theta_c_pr[1,36]	0.573	0.0054	0.644	-0.528	0.504	1.94	14215.0	0.366	1.0
theta_c_pr[1,37]	1.16	0.00545	0.621	-0.0267	1.12	2.4	13018.0	0.335	1.0
theta_c_pr[1,38]	1.09	0.0046	0.689	-0.169	1.04	2.48	22424.0	0.577	1.0
theta_c_pr[1,39]	-0.326	0.0104	0.943	-1.74	-0.469	1.69	8206.0	0.211	1.0
theta_c_pr[1,40]	-0.0637	0.0079	0.509	-0.894	-0.133	1.07	4145.0	0.107	1.0
theta_c_pr[1,41]	0.186	0.00553	0.794	-1.16	0.112	1.85	20661.0	0.532	1.0
theta_c_pr[1,42]	-0.852	0.00459	0.389	-1.53	-0.893	-0.0109	7186.0	0.185	1.0
theta_c_pr[1,43]	0.648	0.0051	0.743	-0.68	0.586	2.18	21196.0	0.546	1.0
theta_c_pr[1,44]	-0.169	0.00654	0.863	-1.6	-0.266	1.62	17421.0	0.449	1.0
theta_c_pr[1,45]	0.0215	0.00456	0.468	-0.788	-0.0218	1.02	10520.0	0.271	1.0
theta_c_pr[1,46]	0.35	0.006	0.854	-1.22	0.309	2.05	20247.0	0.521	1.0
theta_c_pr[1,47]	0.458	0.00516	0.679	-0.686	0.384	1.9	17320.0	0.446	1.0
theta_c_pr[1,48]	0.375	0.0213	0.778	-0.841	0.247	2.1	1331.0	0.0343	1.0
theta_c_pr[1,49]	-0.216	0.0133	1.13	-1.99	-0.301	2.06	7234.0	0.186	1.0
theta_c_pr[1,50]	-0.52	0.0253	0.716	-1.54	-0.673	1.25	804.0	0.0207	1.0
theta_c_pr[1,51]	-0.299	0.0142	0.743	-1.43	-0.442	1.41	2735.0	0.0704	1.0
theta_c_pr[1,52]	-0.0585	0.00425	0.381	-0.744	-0.0915	0.746	8049.0	0.207	1.0
theta_c_pr[1,53]	-1.61	0.00927	0.453	-2.3	-1.65	-0.673	2390.0	0.0615	1.0
theta_c_pr[1,54]	0.0616	0.00614	0.746	-1.14	-0.0379	1.69	14730.0	0.379	1.0
theta_c_pr[1,55]	-0.0314	0.00704	0.871	-1.53	-0.103	1.74	15316.0	0.394	1.0
theta_c_pr[1,56]	-0.197	0.00461	0.465	-0.994	-0.254	0.827	10205.0	0.263	1.0
theta_c_pr[1,57]	-0.298	0.00806	0.966	-1.8	-0.411	1.71	14346.0	0.369	1.0
theta_c_pr[1,58]	0.657	0.0093	0.488	-0.262	0.632	1.65	2747.0	0.0707	1.0
theta_c_pr[1,59]	-0.121	0.00739	0.8	-1.39	-0.237	1.62	11722.0	0.302	1.0
theta_c_pr[1,60]	1.81	0.00484	0.723	0.44	1.78	3.25	22331.0	0.575	1.0
theta_c_pr[1,61]	0.0891	0.00615	0.825	-1.35	0.0294	1.78	17989.0	0.463	1.0
theta_c_pr[1,62]	-0.0322	0.00564	0.703	-1.14	-0.14	1.53	15526.0	0.4	1.0
theta_c_pr[1,63]	-1.46	0.0061	0.365	-2.17	-1.46	-0.832	3579.0	0.0922	1.0
theta_c_pr[1,64]	-0.17	0.00809	0.593	-1.11	-0.263	1.2	5372.0	0.138	1.0
theta_c_pr[1,65]	-0.118	0.00989	0.955	-1.64	-0.236	1.87	9337.0	0.24	1.0
theta_c_pr[1,66]	-0.517	0.00375	0.371	-1.22	-0.54	0.241	9800.0	0.252	1.0
theta_c_pr[1,67]	-1.12	0.00459	0.405	-1.83	-1.16	-0.27	7805.0	0.201	1.0
theta_c_pr[1,68]	0.91	0.00486	0.695	-0.378	0.874	2.3	20427.0	0.526	1.0
theta_c_pr[1,69]	-1.17	0.00436	0.291	-1.79	-1.16	-0.64	4442.0	0.114	1.0
theta_c_pr[1,70]	-1.06	0.0044	0.349	-1.71	-1.09	-0.355	6273.0	0.162	1.0
theta_c_pr[1,71]	-0.531	0.00369	0.321	-1.14	-0.548	0.119	7551.0	0.194	1.0
theta_c_pr[1,72]	0.857	0.00493	0.657	-0.336	0.809	2.21	17761.0	0.457	1.0
theta_c_pr[1,73]	0.728	0.00495	0.719	-0.613	0.687	2.19	21113.0	0.544	1.0
theta_c_pr[1,74]	0.506	0.0146	0.942	-1.08	0.428	2.38	4155.0	0.107	1.0
theta_c_pr[1,75]	0.455	0.00508	0.674	-0.689	0.378	1.91	17597.0	0.453	1.0
theta_c_pr[2,1]	0.47	0.00595	0.356	-0.26	0.47	1.15	3580.0	0.0922	1.0
theta_c_pr[2,2]	0.698	0.0148	1.09	-1.46	0.862	2.47	5420.0	0.14	1.0
theta_c_pr[2,3]	-0.0532	0.0217	0.439	-1.11	-0.0212	0.7	410.0	0.0106	1.01
theta_c_pr[2,4]	0.85	0.0037	0.425	0.0386	0.834	1.69	13205.0	0.34	1.0
theta_c_pr[2,5]	0.875	0.00365	0.313	0.234	0.872	1.47	7371.0	0.19	1.0
theta_c_pr[2,6]	1.56	0.00407	0.357	0.87	1.55	2.27	7699.0	0.198	1.0
theta_c_pr[2,7]	-0.932	0.00463	0.449	-1.76	-0.965	0.0275	9410.0	0.242	1.0
theta_c_pr[2,8]	-0.118	0.00303	0.258	-0.633	-0.126	0.401	7289.0	0.188	1.0
theta_c_pr[2,9]	0.382	0.00388	0.249	-0.147	0.383	0.841	4125.0	0.106	1.0
theta_c_pr[2,10]	-0.503	0.00617	0.664	-1.49	-0.654	1.06	11596.0	0.299	1.0
theta_c_pr[2,11]	-1.57	0.0137	0.869	-2.73	-1.78	0.812	4003.0	0.103	1.0
theta_c_pr[2,12]	-1.52	0.00684	0.619	-2.53	-1.61	-0.091	8187.0	0.211	1.0
theta_c_pr[2,13]	0.633	0.00308	0.319	0.0466	0.607	1.29	10711.0	0.276	1.0
theta_c_pr[2,14]	0.553	0.00315	0.287	-0.0182	0.547	1.11	8277.0	0.213	1.0
theta_c_pr[2,15]	-0.886	0.00711	0.653	-1.75	-1.05	0.823	8455.0	0.218	1.0
theta_c_pr[2,16]	-0.349	0.00306	0.289	-0.912	-0.365	0.247	8952.0	0.231	1.0
